Sr No,Fund Name,AmfiCode,Nav Date,Nav,Benchmark Name,Benchmark Value
863,Kotak Equity Opportunities Fund,120158,07-Jul-2016,88.941,Nifty LargeMidcap 250 TRI,5093.35
864,Kotak Equity Opportunities Fund,120158,08-Jul-2016,88.994,Nifty LargeMidcap 250 TRI,5084.95
865,Kotak Equity Opportunities Fund,120158,11-Jul-2016,90.392,Nifty LargeMidcap 250 TRI,5157.41
866,Kotak Equity Opportunities Fund,120158,12-Jul-2016,90.881,Nifty LargeMidcap 250 TRI,5180.64
867,Kotak Equity Opportunities Fund,120158,13-Jul-2016,90.097,Nifty LargeMidcap 250 TRI,5160.2
868,Kotak Equity Opportunities Fund,120158,14-Jul-2016,90.826,Nifty LargeMidcap 250 TRI,5187.23
869,Kotak Equity Opportunities Fund,120158,15-Jul-2016,90.407,Nifty LargeMidcap 250 TRI,5165.24
870,Kotak Equity Opportunities Fund,120158,18-Jul-2016,90.279,Nifty LargeMidcap 250 TRI,5140.16
871,Kotak Equity Opportunities Fund,120158,19-Jul-2016,90.468,Nifty LargeMidcap 250 TRI,5151.16
872,Kotak Equity Opportunities Fund,120158,20-Jul-2016,91.139,Nifty LargeMidcap 250 TRI,5193.52
873,Kotak Equity Opportunities Fund,120158,21-Jul-2016,91.135,Nifty LargeMidcap 250 TRI,5171.67
874,Kotak Equity Opportunities Fund,120158,22-Jul-2016,91.787,Nifty LargeMidcap 250 TRI,5210.98
875,Kotak Equity Opportunities Fund,120158,25-Jul-2016,92.612,Nifty LargeMidcap 250 TRI,5266.75
876,Kotak Equity Opportunities Fund,120158,26-Jul-2016,92.46,Nifty LargeMidcap 250 TRI,5237.19
877,Kotak Equity Opportunities Fund,120158,27-Jul-2016,92.921,Nifty LargeMidcap 250 TRI,5262.39
878,Kotak Equity Opportunities Fund,120158,28-Jul-2016,93.646,Nifty LargeMidcap 250 TRI,5292.87
879,Kotak Equity Opportunities Fund,120158,29-Jul-2016,93.638,Nifty LargeMidcap 250 TRI,5304.32
880,Kotak Equity Opportunities Fund,120158,01-Aug-2016,93.824,Nifty LargeMidcap 250 TRI,5316.75
881,Kotak Equity Opportunities Fund,120158,02-Aug-2016,93.544,Nifty LargeMidcap 250 TRI,5295.49
882,Kotak Equity Opportunities Fund,120158,03-Aug-2016,92.362,Nifty LargeMidcap 250 TRI,5235.95
883,Kotak Equity Opportunities Fund,120158,04-Aug-2016,92.606,Nifty LargeMidcap 250 TRI,5255.54
884,Kotak Equity Opportunities Fund,120158,05-Aug-2016,94.116,Nifty LargeMidcap 250 TRI,5339.55
885,Kotak Equity Opportunities Fund,120158,08-Aug-2016,94.722,Nifty LargeMidcap 250 TRI,5365.59
886,Kotak Equity Opportunities Fund,120158,09-Aug-2016,94.337,Nifty LargeMidcap 250 TRI,5345.96
887,Kotak Equity Opportunities Fund,120158,10-Aug-2016,93.036,Nifty LargeMidcap 250 TRI,5283.5
888,Kotak Equity Opportunities Fund,120158,11-Aug-2016,93.249,Nifty LargeMidcap 250 TRI,5291.59
889,Kotak Equity Opportunities Fund,120158,12-Aug-2016,93.681,Nifty LargeMidcap 250 TRI,5325.29
890,Kotak Equity Opportunities Fund,120158,16-Aug-2016,93.75,Nifty LargeMidcap 250 TRI,5331.86
891,Kotak Equity Opportunities Fund,120158,17-Aug-2016,93.871,Nifty LargeMidcap 250 TRI,5343.62
892,Kotak Equity Opportunities Fund,120158,18-Aug-2016,94.47,Nifty LargeMidcap 250 TRI,5383.5
893,Kotak Equity Opportunities Fund,120158,19-Aug-2016,94.661,Nifty LargeMidcap 250 TRI,5401.24
894,Kotak Equity Opportunities Fund,120158,22-Aug-2016,94.272,Nifty LargeMidcap 250 TRI,5371.73
895,Kotak Equity Opportunities Fund,120158,23-Aug-2016,94.102,Nifty LargeMidcap 250 TRI,5367.69
896,Kotak Equity Opportunities Fund,120158,24-Aug-2016,94.644,Nifty LargeMidcap 250 TRI,5388.62
897,Kotak Equity Opportunities Fund,120158,25-Aug-2016,94.298,Nifty LargeMidcap 250 TRI,5365.31
898,Kotak Equity Opportunities Fund,120158,26-Aug-2016,94.224,Nifty LargeMidcap 250 TRI,5364.5
